ID	kmeans	network	red
150	0	5	6
607	7	5	3
785	0	3	6
875	5	6	1
903	5	6	3
929	4	5	6
989	7	6	3
1186	0	0	0
1696	0	6	6
1952	5	6	3
2172	7	6	2
2426	5	5	3
2623	7	5	3
2819	5	3	1
3024	5	5	3
3300	5	6	3
3426	0	0	6
3471	5	6	1
3878	6	6	7
5107	0	5	6
5348	5	5	3
5593	6	3	7
6437	0	5	6
7578	0	0	3
8882	7	5	3
9015	1	0	1
10221	7	5	2
10286	5	0	1
10545	5	0	1
10695	0	0	6
10708	0	5	6
10877	5	5	1
11214	0	0	1
11294	0	5	6
11764	0	6	6
12099	5	6	3
12217	5	4	1
12225	5	0	1
12504	5	0	1
12512	0	5	6
12514	5	5	1
12526	5	0	6
12528	0	5	6
12582	5	3	1
12587	7	5	0
12601	5	6	3
12741	1	5	0
13148	0	6	6
13166	1	0	1
13355	0	5	6
13567	5	5	1
13653	0	5	6
14563	0	0	6
15573	5	5	1
16683	0	3	6
17403	0	5	6
18093	0	1	6
18433	5	5	3
18903	0	6	3
22253	5	5	3
25993	0	5	6
27043	5	6	6
31253	0	6	3
33033	5	3	3
33043	0	5	0
33423	0	3	6
33823	2	3	3
33923	1	5	0
34543	7	5	3
34623	5	6	3
34943	5	6	1
35383	5	6	7
35673	0	6	3
35803	0	5	6
36053	5	6	3
36183	0	5	6
36713	7	6	1
38003	5	6	3
38263	0	6	3
40743	1	0	1
41553	5	6	1
42743	0	6	6
46023	0	5	6
46783	0	5	6
48053	5	6	1
49093	7	5	0
49553	5	6	1
53013	0	7	6
56873	5	5	3
57203	1	0	1
60273	5	0	1
63433	5	0	6
65463	0	5	6
66393	0	6	6
67313	0	5	6
68953	0	0	1
71263	7	0	1
74523	5	5	1
77503	0	0	3
78213	5	0	6
78453	0	1	6
78783	0	0	4
101653	5	5	6
189663	0	5	6
214473	5	6	3
242133	0	5	6
356683	5	6	1
471323	5	0	1
490673	7	3	1
532923	6	5	7
611823	0	3	3
617423	0	5	6
621713	5	3	1
624683	5	6	1
626263	0	5	6
628783	1	0	1
634563	5	6	3
635723	5	6	3
636923	0	5	6
637453	0	0	6
638563	5	0	6
638643	7	5	0
638933	0	5	6
639783	0	6	6
640903	0	3	6
641043	5	6	1
641523	5	6	1
641633	5	3	1
642233	0	5	6
642263	7	0	4
642543	0	6	3
644493	6	3	3
646033	0	0	0
