ID	kmeans	network	red
875	3	6	5
903	1	6	3
2172	1	6	2
2426	3	6	3
10221	3	6	2
10877	3	3	5
12217	4	3	5
12504	4	7	2
18093	3	6	6
18903	1	6	3
22253	3	6	3
34623	3	6	3
35383	3	3	0
35673	3	6	6
36183	3	6	6
36713	3	6	2
53013	3	0	3
68953	3	6	5
78453	3	6	6
78783	3	5	4
189663	3	6	6
356683	4	7	2
611823	3	6	6
636923	3	6	6
638563	3	6	3
642543	3	3	3
653053	3	6	6
658643	3	3	6
658683	3	6	6
659533	4	7	2
666293	3	6	6
672863	4	7	2
674883	4	7	2
689183	3	6	6
698193	3	6	6
725953	3	6	6
738633	3	6	6
751503	3	6	6
752603	3	6	6
755033	3	6	3
755653	3	5	4
755859	3	6	6
756278	3	6	6
761023	4	7	2
771681	4	6	2
777885	3	5	4
784912	3	6	3
790249	3	3	5
801123	4	6	2
803074	3	3	3
815897	3	3	6
817386	3	6	6
819148	3	6	3
972651	3	6	6
979061	3	0	3
979811	7	3	0
987681	3	5	6
1006521	3	7	6
1050111	3	6	6
1068751	3	3	1
1089691	2	5	4
1150401	3	3	5
1155631	3	3	5
1222781	3	3	5
1286041	3	6	5
1343871	4	7	2
1437841	3	6	5
1538211	3	5	4
1550251	3	6	6
1563001	1	6	3
1594471	1	6	3
1622441	3	3	6
1671651	3	6	4
1677981	3	7	2
1690351	1	6	3
1693831	3	3	5
1897081	3	6	6
2017551	2	5	4
2024491	3	6	6
2087371	4	0	5
2212361	3	3	5
2223291	4	7	2
2242231	3	7	6
2257251	2	6	6
2373551	3	5	4
2684451	3	3	3
2741351	1	6	3
2899671	6	3	3
2913451	4	7	2
3007491	3	3	5
3250521	3	6	6
3257461	3	6	6
3468981	3	6	1
3909641	3	6	6
4258171	3	3	5
4528281	3	0	3
4546251	3	3	3
4571321	1	6	3
4641021	3	6	6
5017391	3	3	3
5026991	3	3	5
5532312	3	6	6
5674912	3	5	5
5716352	3	6	6
5723242	1	6	3
5735232	4	6	2
5746402	3	6	6
5777542	3	6	6
5834352	3	6	6
5863782	3	3	5
5903472	3	6	2
5998082	4	7	2
6135062	3	3	1
6187302	3	3	5
6208362	3	7	5
6214082	3	7	6
6312822	1	3	3
6681532	3	6	3
6827332	3	6	6
6861272	3	3	5
6911532	3	3	1
6949612	1	6	3
6981492	3	6	3
6985162	1	3	3
7006222	2	5	4
7131752	3	0	3
7141052	1	6	3
7144422	3	6	6
7213362	3	7	2
7237922	3	6	2
7251502	2	5	4
7284312	3	6	2
7285302	2	5	4
7331272	4	7	2
7352612	4	7	2
7439852	3	0	3
7610582	3	6	3
7635182	3	6	6
7638992	4	6	1
7805972	4	7	2
7981252	3	7	3
8060842	3	6	6
8072642	3	6	6
8076052	4	7	2
8108292	4	6	2
8204972	4	7	2
8315692	2	6	4
8358552	4	7	2
8390682	3	7	2
8543882	1	6	3
8658242	3	7	6
8889522	3	6	3
8950192	4	7	2
9024412	3	5	4
9047312	3	6	6
9213202	6	3	0
9257862	3	6	3
9259892	3	3	5
9334052	3	3	5
9364102	3	1	5
9419482	3	5	4
9427242	3	6	6
9525052	3	6	6
9580792	3	6	6
9613162	3	5	3
9677102	3	5	1
9688342	3	0	6
9767742	3	0	3
9771682	3	5	3
9820812	4	7	2
9871212	3	7	6
9916982	3	6	5
10087062	3	6	3
10194392	3	7	5
10397362	2	5	4
10446382	3	6	3
10505162	3	3	5
10675922	2	5	4
10780612	3	3	6
10802892	3	5	4
10855252	3	0	3
11087102	3	7	6
11215482	3	3	0
11405762	4	6	2
11406792	7	6	2
11469602	3	6	6
11482102	2	5	4
11537152	3	3	5
11798592	3	3	5
12039262	3	3	5
12047992	3	6	6
12128432	3	3	5
12132212	3	3	6
12235032	3	6	6
12266272	4	7	2
12273252	5	6	3
12290352	3	3	5
12313592	1	6	3
12470902	3	6	3
12609722	3	6	4
12724562	4	7	2
12744742	3	6	3
12831092	3	7	4
12914572	4	7	2
12984782	4	7	2
13077772	3	3	6
13160962	3	6	6
13594482	1	6	3
13904812	3	6	0
13945572	3	3	5
14003912	5	6	3
14060637	3	6	6
14060640	3	3	3
14061743	3	6	6
14068631	3	6	3
14080534	3	3	3
14082105	3	0	3
14097734	3	3	6
14097779	1	3	3
14101591	3	6	3
14103188	3	0	3
14114228	3	6	5
14134854	6	3	0
14142709	4	6	2
14148326	3	5	6
14149386	3	6	6
14151652	3	3	6
14155103	3	6	6
14156676	3	5	4
14157068	3	6	3
14161143	3	6	3
14166065	3	6	6
14173057	4	7	2
14177252	2	5	4
14186490	3	6	3
14188163	3	3	5
14188890	3	6	3
14199907	4	6	2
14202167	3	6	3
14209427	3	5	4
14217197	3	6	3
14226811	3	6	3
14227194	3	6	6
14231571	2	5	4
14234486	1	6	3
14237651	3	0	3
14246782	3	6	6
14255185	3	6	5
14260072	6	3	0
14300115	4	7	2
14302336	1	0	5
14302937	3	6	6
14315601	3	3	0
14335967	3	5	4
14339376	4	7	2
14344677	3	6	5
14347282	3	6	6
14347790	3	6	1
14355425	3	7	1
14357305	3	5	4
14358900	4	7	2
14360752	3	6	6
14365611	3	7	2
14366170	3	3	6
14372486	3	6	6
14375228	3	0	3
14375372	3	6	3
14389528	4	7	2
14395568	3	3	6
14397549	4	7	2
14398655	2	5	4
14406061	3	6	6
14410190	3	6	6
14412930	6	3	0
14417508	3	6	3
14430504	2	5	4
14438627	3	3	3
14445315	3	0	6
14453634	3	7	5
14453698	3	6	3
14463726	3	6	6
14472196	4	6	3
14478288	3	6	6
14491482	3	0	6
14507319	3	5	4
14527403	3	6	3
14539324	3	6	1
14546264	3	5	4
14566237	3	6	6
14577594	3	6	3
14593458	3	7	5
