source	target	count
471323	10545	1
312465220	266770083	1
523136078	755859	1
273035952	164419419	1
42547848	20542450	1
291785252	47785716	1
36541025	1305995330	1
173036952	374237029	1
100410541	14522520	1
14344677	755859	1
506492373	494645712	1
307101831	370981071	1
245660438	187406906	1
293690292	15560223	1
304655867	339316045	1
276667497	363594221	1
29383882	6370862	1
263260669	25890126	1
1498896074	15964196	1
345022809	98524917	1
22419090	15947185	1
10855252	785	1
464339222	504936637	1
618776976	540488894	1
14459732	19312115	1
1472262878	275686563	1
225016978	562967344	2
311747595	114558597	1
1457133379	516881795	1
15886726	6312822	1
379926036	339069033	1
228518871	24409342	1
29421599	27947792	1
280784990	30261067	1
1018689103	522439913	1
264760458	30261067	1
243449839	729861540	1
870874616	310069463	1
167118580	107775833	1
989869759	974351666	1
366779615	216892541	1
149697638	66836618	1
967384813	63227835	1
1353080977	431370594	1
266108766	346261075	1
247146133	369706498	1
451078866	42983694	1
1081741399	9688342	1
18520806	10545	1
261333037	217144065	1
21717049	6312822	1
348066529	15944436	1
126124275	6370862	1
338179051	423896018	1
4546251	6312822	1
1368654704	60807287	1
164739781	30201610	1
26382282	30261067	1
306436646	444173703	1
91986218	15395727	1
163950499	183422776	1
1162036044	25338609	1
316184985	972651	1
998161488	219381081	1
211555957	14885549	1
521154065	203650386	1
577663817	340532117	1
358407305	368437553	1
569631252	811548878	1
481479218	522526329	1
129057753	607525509	1
824027534	132048085	1
614101146	447538839	1
470516369	24786076	1
1279374631	146941639	1
351741710	387159418	1
172361473	1100826835	1
535720341	240337795	1
374586473	291968003	1
63211389	580119174	1
484256543	29522079	1
111694135	64591787	1
130702325	369179615	1
38815589	83271185	1
218627784	221187032	1
344348987	447538839	1
276755697	470097537	1
11537152	13945572	1
49856148	881478908	1
18134567	60642052	1
439326608	1290906798	1
95587374	750215642	1
136840280	249527815	1
114312753	36822520	1
61107183	972651	1
39297909	19422490	1
448560997	447538839	1
624904133	537874479	1
64925388	930847412	1
568485992	762386762	1
19558701	14752818	1
587796464	834050203	1
785626652	396726215	1
1330782240	522526329	1
104110076	100496055	1
44553220	14522927	1
115474488	47944990	1
24400083	1054892244	1
14060640	6312822	1
600261710	1074257515	1
49180622	12273252	1
395141791	235152518	1
391143521	522526329	1
448434804	502180332	1
51883073	109791396	1
213049185	127978917	1
231144109	454543977	1
469594316	2735591	1
77383180	16503785	1
369799275	1007627268	1
