"","source","target","value"
"17969",0,28219,1
"1722",2,11166,1
"12218",4,24503,1
"22994",6,11516,1
"8423",8,7783,1
"19148",9,8438,1
"5376",11,7241,1
"18292",12,8492,1
"19724",13,8665,1
"16312",14,102,1
"2866",17,11570,1
"11395",17,284,1
"3771",18,15784,1
"7555",19,26200,1
"24232",20,9569,1
"6119",21,17126,1
"23869",22,12838,1
"11067",23,18853,1
"21162",23,18508,1
"16261",24,28219,1
"10021",26,10224,1
"21911",28,25080,1
"1589",29,25080,1
"6562",29,11032,4
"1179",32,8665,1
"11057",35,28041,1
"19413",36,6180,1
"22323",37,24320,1
"15252",38,14128,2
"12522",39,14036,1
"20091",40,15866,1
"3451",41,7171,1
"2541",42,21431,1
"13404",43,28762,1
"4045",44,5678,1
"1333",45,29965,1
"6616",46,28558,1
"24748",49,23288,1
"7071",50,22467,1
"16351",50,24443,1
"3839",51,24625,1
"13952",52,16031,1
"11354",53,779,1
"13108",54,11011,1
"23350",56,21231,1
"24576",56,10633,1
"17158",57,8245,1
"23180",59,28458,1
"24442",61,763,1
"10567",65,14426,1
"14870",65,779,1
"24384",65,30143,1
"4477",66,4596,1
"22849",67,8665,1
"24624",68,5581,1
"8570",69,20441,1
"5446",70,19754,1
"10136",70,338,1
"10622",72,6036,1
"8558",73,28895,1
"12654",77,12532,1
"4199",78,4497,1
"17698",79,24541,1
"16451",80,9405,1
"10037",81,6833,1
"14414",83,8794,1
"15348",84,14036,1
"21041",85,15990,1
"8547",86,5763,1
"2744",90,11720,1
"4496",91,15,1
"10029",93,21229,1
"342",95,27309,1
"7646",96,21536,1
"15517",98,14389,1
"11087",99,26941,1
"9921",100,23692,1
"11942",100,10046,1
"17814",102,23385,1
"24518",103,23449,1
"11572",104,17372,1
"1193",105,284,1
"19006",106,5003,1
"3826",107,24000,1
"2129",108,9504,1
"20192",109,24443,1
"3885",110,7696,1
"16282",110,8922,1
"19430",110,779,1
"18659",112,14857,1
"3332",114,2706,1
"8694",115,4917,1
"22649",116,26864,1
"9078",117,15982,1
"2990",118,2757,1
"16753",119,11498,1
"10301",120,7669,1
"9052",121,337,1
"1192",122,7123,2
"13335",122,3721,1
"3325",123,28858,1
"7910",124,23525,1
"943",125,16718,1
"10831",126,10283,1
"4481",127,27282,1
"15039",128,465,1
"16745",129,9259,1
"12583",132,5144,1
"12149",133,12639,1
"14928",134,8280,1
"17500",135,4763,1
"22856",136,9440,1
"8282",137,25080,2
"2088",138,10418,1
"7247",139,3142,1
"19671",140,17664,1
"15145",145,6354,1
"10385",146,4596,1
"4501",147,20145,1
"6682",148,14670,1
"23989",149,26866,1
"8716",150,10488,1
"7185",152,28694,1
"1204",153,12035,1
"21309",154,779,1
"12241",155,4919,1
"683",156,19451,1
"1210",157,5678,1
"24722",158,18656,1
"16573",160,17604,1
"19611",161,12485,1
"20038",161,10633,1
"5999",163,15468,1
"1742",165,28041,1
"18271",167,16756,1
"23331",168,3303,1
"4046",170,16963,1
"12368",171,7123,1
"11442",173,9199,1
"1709",174,22471,1
"980",176,23377,1
"20302",177,28134,1
"91",179,24970,1
"2450",180,10633,1
"17366",181,7681,1
"3612",183,16158,1
"24114",184,8665,1
"7383",185,9405,1
"23251",186,779,1
"12984",187,22035,1
"13603",189,9405,1
"3048",194,11166,1
"7015",195,21218,1
"244",196,24320,1
"1673",197,2505,2
"3067",198,2561,1
"19735",199,29487,1
"11348",201,3721,1
"3860",202,21817,1
"7727",203,11251,1
"18558",203,26611,1
"18567",206,10488,1
"7172",207,9288,1
"17951",207,2492,1
"16361",209,765,1
"11227",210,20428,1
"20269",211,9537,1
"3570",212,5023,1
"13872",213,28610,1
"24290",214,24901,1
"10834",215,9879,1
"18986",215,26869,1
