"","source","target","value"
"113",7,213,1
"47",10,213,1
"66",11,213,1
"117",13,216,1
"36",14,212,1
"119",14,1,1
"205",17,213,1
"208",18,216,1
"218",19,2,1
"123",20,213,1
"80",21,213,1
"88",25,216,1
"124",27,213,1
"135",28,213,1
"22",29,213,1
"103",31,213,1
"44",32,213,1
"94",33,213,1
"32",34,213,1
"159",37,213,1
"153",38,213,1
"207",39,213,1
"111",41,213,1
"192",44,213,1
"14",46,213,1
"75",52,213,1
"93",55,54,1
"54",60,54,1
"187",60,212,1
"104",61,216,1
"160",61,59,1
"163",62,54,1
"129",63,54,1
"95",64,54,1
"43",65,54,1
"186",66,54,1
"59",67,54,1
"120",68,54,1
"217",69,214,1
"222",69,54,1
"116",70,54,1
"176",71,54,1
"199",72,54,2
"223",73,54,1
"100",74,54,1
"10",77,54,2
"122",78,54,1
"142",79,54,1
"91",80,54,1
"18",81,54,1
"23",82,54,1
"31",83,54,1
"130",84,54,2
"68",86,54,1
"194",88,87,1
"7",89,87,1
"193",90,87,1
"38",91,87,1
"144",92,87,1
"26",93,87,1
"154",94,87,1
"146",95,87,1
"51",96,87,1
"209",97,87,1
"220",99,98,1
"77",100,98,1
"167",100,214,2
"17",101,98,1
"200",102,212,1
"86",103,212,1
"148",105,212,1
"155",106,212,1
"50",108,212,1
"112",109,98,1
"174",109,213,1
"162",110,98,1
"166",110,218,1
"71",112,212,1
"212",115,212,1
"121",120,98,1
"99",121,212,1
"127",124,98,1
"188",124,214,1
"172",125,98,1
"45",127,98,1
"42",130,212,1
"39",133,99,1
"78",135,212,1
"168",136,98,1
"13",137,98,1
"128",138,212,1
"201",139,212,1
"35",140,98,1
"37",141,213,1
"125",142,98,1
"141",143,212,1
"24",144,98,1
"82",144,227,1
"63",171,163,1
"4",182,164,1
"53",199,161,1
"87",200,212,1
"25",207,161,1
"3",209,161,1
"183",235,223,1
"12",237,214,1
"215",237,235,1
"197",240,279,1
"21",247,226,2
"69",247,3,1
"84",247,234,2
"219",247,231,1
"157",259,228,1
"165",263,217,1
"191",264,214,2
"52",282,225,1
"137",283,214,1
"152",285,217,1
"92",288,214,1
"101",289,218,1
"150",292,235,1
"224",295,225,1
"214",297,214,1
"2",299,226,2
"81",308,237,1
"190",311,227,1
"206",317,219,1
"102",318,214,1
"9",319,221,1
"225",325,239,1
"140",328,212,1
"70",330,255,1
"143",331,213,1
"126",332,216,3
"195",334,212,1
"16",335,231,1
"89",337,250,1
"139",339,214,1
"216",341,228,1
"28",342,229,1
"96",345,212,1
"114",348,212,1
"221",349,219,1
"74",350,215,1
"198",351,218,1
"41",353,224,1
"65",354,212,1
"164",355,233,1
"161",359,233,1
"170",359,219,1
"185",363,219,1
"132",368,216,1
"106",369,214,1
"27",372,267,1
"5",379,239,1
"210",380,219,1
"29",381,227,1
"105",382,221,1
"189",390,217,1
"158",396,212,1
"40",397,232,1
"57",397,244,1
"83",397,221,1
"115",403,223,1
"213",404,214,1
"196",408,212,1
"85",410,233,1
"73",414,214,1
"98",415,244,1
"20",418,214,1
"179",419,222,1
"181",419,212,1
"97",420,215,2
"184",421,212,1
"138",424,257,1
"49",426,214,1
"62",432,228,1
"180",432,226,1
"118",434,219,1
"58",435,238,1
"67",440,214,1
"134",442,222,1
"19",444,229,1
"56",448,243,1
"79",452,215,1
"11",454,221,1
"171",459,224,1
"202",459,214,1
"145",460,224,1
"6",463,54,1
"61",463,238,1
"64",463,87,1
"30",464,216,1
"76",469,214,1
"133",469,239,1
"178",470,250,1
"15",471,214,1
"211",472,217,1
"149",473,214,1
"48",474,245,2
"109",474,230,1
"147",475,223,1
"182",476,218,1
"33",477,220,1
"110",483,215,1
"136",484,271,1
"156",484,225,1
"204",484,265,1
"203",486,214,1
"151",487,223,1
"1",488,212,1
"34",491,221,1
"8",492,242,1
"55",496,214,1
"108",498,219,1
"46",500,221,1
"131",500,244,1
"173",501,220,1
"72",502,240,1
"175",505,215,1
"60",508,234,1
"90",509,246,1
"177",509,240,1
"107",510,230,1
"169",578,214,1
