ID	group	Indegree	IsOpinionLeader	IsOpinionLeaderMultiple
6312822	0	42	1	1
611823	0	24	0	0
222540906	0	9	0	0
12984782	0	6	0	0
15403842	0	6	0	0
22852745	0	3	0	0
327550001	0	3	0	0
2223291	0	1	0	0
8950192	0	1	0	0
39306627	0	1	0	0
219535433	0	1	0	0
273116393	0	1	0	0
286803371	0	1	0	0
12504	0	0	0	0
979061	0	0	0	0
5716352	0	0	0	0
7805972	0	0	0	0
7981252	0	0	0	0
12724562	0	0	0	0
14060640	0	0	0	0
14397549	0	0	0	0
14438627	0	0	0	0
14478288	0	0	0	0
15159694	0	0	0	0
15752932	0	0	0	0
16290599	0	0	0	0
18785068	0	0	0	0
19182150	0	0	0	0
22344572	0	0	0	0
33445852	0	0	0	0
35647737	0	0	0	0
38699286	0	0	0	0
42710143	0	0	0	0
44332516	0	0	0	0
54647086	0	0	0	0
60179336	0	0	0	0
61550542	0	0	0	0
64581135	0	0	0	0
77181379	0	0	0	0
81553103	0	0	0	0
86456840	0	0	0	0
93998613	0	0	0	0
96514380	0	0	0	0
101670023	0	0	0	0
153648441	0	0	0	0
198554681	0	0	0	0
207959644	0	0	0	0
227506607	0	0	0	0
235762270	0	0	0	0
236351659	0	0	0	0
250497656	0	0	0	0
297546385	0	0	0	0
297854362	0	0	0	0
304677736	0	0	0	0
339995442	0	0	0	0
342328432	0	0	0	0
342720495	0	0	0	0
364197480	0	0	0	0
370136412	0	0	0	0
391977399	0	0	0	0
403245409	0	0	0	0
409588638	0	0	0	0
454257735	0	0	0	0
459504843	0	0	0	0
470757557	0	0	0	0
477135052	0	0	0	0
502772796	0	0	0	0
540711381	0	0	0	0
602661124	0	0	0	0
637443255	0	0	0	0
927979267	0	0	0	0
928895239	0	0	0	0
932740352	0	0	0	0
1027141638	0	0	0	0
1237757929	0	0	0	0
1336384574	0	0	0	0
1336610791	0	0	0	0
1466181618	0	0	0	0
1491578720	0	0	0	0
979811	1	65	1	1
583375286	1	6	0	0
23255992	1	5	0	0
15760192	1	4	0	0
439637245	1	2	0	0
35383	1	1	0	0
96723697	1	1	0	0
118280725	1	1	0	0
221453192	1	1	0	0
299659914	1	1	0	0
508194417	1	1	0	0
731223740	1	1	0	0
875	1	0	0	0
5532312	1	0	0	0
5735232	1	0	0	0
