ID	kmeans	network	red
875	7	1	0
903	4	3	3
12504	6	0	5
18093	7	6	2
22253	1	4	6
35383	1	1	1
35673	1	7	6
36183	7	7	6
53013	1	3	6
78453	1	6	2
78783	5	6	4
611823	1	0	6
642543	1	5	6
672863	6	4	5
725953	7	7	6
761023	6	7	5
777885	5	6	4
784912	1	3	6
801123	6	5	5
819148	1	3	6
979061	1	0	6
979811	3	1	1
1006521	1	3	6
1050111	7	6	2
1286041	7	2	0
1343871	6	3	5
1538211	1	3	6
1550251	7	6	6
1594471	4	3	3
1677981	7	2	6
1690351	4	3	3
2223291	6	0	5
2242231	1	6	6
2257251	7	7	3
3007491	0	2	0
3250521	7	6	6
4258171	0	2	0
4571321	4	3	3
4641021	1	3	6
5026991	1	3	6
5532312	1	1	6
5716352	7	0	6
5735232	6	1	1
5834352	1	7	6
5903472	1	7	0
6214082	7	6	6
6312822	7	0	3
6681532	1	6	6
7131752	1	6	6
7285302	7	7	3
7352612	6	2	5
7805972	6	0	5
7981252	1	0	3
8060842	7	6	6
8108292	6	3	0
8390682	1	2	5
8950192	6	0	5
9024412	5	7	4
9047312	1	3	6
9427242	7	5	6
9871212	7	3	6
9916982	1	3	0
11482102	7	3	3
11537152	1	4	6
12235032	7	1	6
12266272	6	7	5
12313592	4	3	3
12609722	1	5	0
12724562	6	0	5
12984782	6	0	5
13160962	7	6	1
13945572	1	7	6
14003912	1	3	6
14060637	1	5	6
14060640	7	0	3
14068631	7	1	6
14103188	1	6	6
14142709	6	7	5
14151652	1	6	6
14155103	7	4	6
14188163	0	2	0
14188890	7	4	6
14202167	1	4	6
14209427	5	4	4
14237651	1	7	6
14255185	7	6	0
14260072	3	1	1
14302937	7	3	6
14355425	1	6	1
14358900	6	6	5
14372486	7	5	6
14389528	6	6	5
14397549	6	0	5
14438627	1	0	3
14478288	7	0	6
14539324	7	7	6
14626987	7	2	6
14635769	7	2	6
14643241	4	3	3
14658540	1	5	0
14752818	0	7	0
14865941	1	2	6
14879113	5	4	6
14883072	7	1	3
14913623	3	1	1
14967638	7	4	6
15008936	1	6	6
15052343	1	6	6
15059496	6	4	5
15063088	1	3	6
15086405	1	7	6
15143065	5	2	4
15151306	1	5	6
15159694	6	0	5
15174093	7	2	3
15228823	7	4	6
15403842	1	0	6
15447922	7	2	3
15463446	0	2	0
15464273	7	6	1
